#,Short Name,Full Title,Authors,Venue,CORE Rank,Year,Cluster,Key Contribution,Methodology,LLM Used,Key Results,Shortcomings,Future Steps (per paper),Role in RepairA11y
1,WebAIM Million 2024,The WebAIM Million 2024,WebAIM,webaim.org (Annual Report),N/A,2024,C1 — Scale,Annual WCAG scan of top 1M homepages; establishes failure rate at scale,Automated axe-core scan + manual sampling of top 1M sites,None,95.9% of homepages fail WCAG; 56.8 errors/page average,Descriptive only; no repair proposed; axe-core bounded,Continuous large-scale monitoring; automated remediation suggestions,Opening motivation stat — 95.9% failure rate justifies need for automated repair
2,Lazar et al. 2015,Web Accessibility: A Foundation for Research,"Lazar J.; Goldstein D.; Taylor A.",Springer (Book),N/A,2015,C1 — Scale,Cost analysis proving manual a11y auditing infeasible at scale,Literature review + case studies across organizations,None,Manual audit costs prohibitive; no organization can scale manual review,Dated (pre-WCAG 2.2); no automated solution proposed,Automated audit frameworks; scalable remediation pipelines,Motivation for automated repair — manual approach infeasible
3,Seyfarth Shaw ADA,ADA Title III Litigation Report (Annual),Seyfarth Shaw LLP,Industry Report (Annual),N/A,2024,C1 — Scale,4000+ web accessibility lawsuits/year in US; year-on-year growth,Legal case analysis,None,4000+ suits/year; sustained upward trend,Non-technical; no engineering solution,Proactive compliance tooling; shift from reactive to preventive,Legal pressure motivation — compliance failure has measurable financial cost
4,W3C WCAG 2.2,Web Content Accessibility Guidelines 2.2,W3C Accessibility Guidelines Working Group,W3C Standard,N/A,Oct 2023,C1 — Scale,Formalizes SC 2.4.11/2.4.12/2.4.13; first WCAG focus-appearance requirements,Normative specification,None,New SCs with zero tooling at publication; previously unaddressed,Spec only; no implementation or testing guidance,Tooling and repair for new focus-appearance SCs,Defines target SCs for RepairA11y; recency claim — almost no tooling exists
5,axe-core,axe-core: Accessibility Engine (open-source),Deque Systems,Open-source Tool,N/A,2015+,C2 — Detection,DOM-based WCAG scanner covering ~55 SCs; most widely deployed a11y tool,Static DOM traversal + CSS attribute analysis,None,~55 SCs covered; most deployed a11y tool globally,Cannot detect runtime focus-behavior violations (SC 2.4.7/2.4.11/2.4.12/2.4.13),Runtime analysis extension for dynamic violations,Static detector baseline; what RepairA11y goes beyond (detection via NavA11y)
6,Vigo et al. 2013,Benchmarking Web Accessibility Evaluation Tools,"Vigo M.; Brown J.; Conway V.",W4A,B,2013,C2 — Detection,Benchmark of 6 automated a11y tools against WCAG; establishes static coverage ceiling,Tool evaluation + WCAG violation mapping study,None,Tools cover only 30-40% of all WCAG violations,Pre-WCAG 2.1; all static tools; no runtime testing,Dynamic and interactive a11y testing; runtime analysis,Static tool coverage ceiling — supports NavA11y justification for runtime detection
7,Alsaeedi & Joy 2020,Survey of Web Accessibility Evaluation Tools [VERIFY TITLE],"Alsaeedi A.; Joy M.",JSW [VERIFY FULL JOURNAL NAME],??,2020,C2 — Detection,Survey of 26 accessibility tools — all use static DOM/CSS analysis exclusively,Systematic literature review of 26 tools,None,All 26 tools static; no runtime capability existed pre-NavA11y,No runtime tools; pre-WCAG 2.2; no focus-behavior SC coverage,Runtime accessibility analysis tools,Confirms no runtime tools existed before NavA11y; validates detection gap
8,NavA11y,NavA11y: Runtime Detection of WCAG 2.4 Focus Violations [VERIFY FULL TITLE],"[VERIFY AUTHORS — thesis Ch. 1]",ENASE,Unranked,2026,C2 — Detection,First Playwright-based runtime detector for SC 2.4.7/2.4.11/2.4.12/2.4.13 via keyboard simulation + computed-style capture,Dynamic Playwright instrumentation; keyboard tab simulation; CSS computed-style snapshot,None,Detects violations all static tools miss; covers 4 focus-behavior SCs,Detection only; no repair proposed; ENASE venue low-ranked,Automated repair of detected violations,Foundation of RepairA11y (Ch. 1); Stage 1 of pipeline; evidence source
9,GenA11y,Enhancing Web Accessibility: Automated Detection of Issues with Generative AI,"He X.; Huq S.; Malek S.",FSE (ACM),A*,2025,C3 — Repair,LLM repair of axe-core violations using HTML + screenshot as static evidence,axe-core violation detection + GPT-4V multimodal prompting + DOM patching,GPT-4V,"94.5% precision; 87.61% overall recall; 0% recall on SC 2.4.3/2.4.7 [VERIFY per-SC breakdown table]",Static evidence fails for runtime violations; axe-core bounded; focus SCs at 0%,Runtime evidence collection for focus-behavior SCs,PRIMARY MOTIVATION — 0% recall empirically proves static evidence insufficient for focus SCs
10,AccessGuru,AccessGuru: LLM-Based Web Accessibility Repair with Iterative Re-prompting [VERIFY FULL TITLE],"[VERIFY AUTHORS]",ASSETS,A,2025,C3 — Repair,LLM + iterative re-prompting loop achieving ~84% violation reduction,axe-core detection + LLM prompting + re-check loop + re-prompt on failure,[VERIFY MODEL],~84% violation reduction,axe-core bounded; no focus-behavior SCs covered; loop terminates on static re-check,Expand SC coverage; runtime-detectable violations,RQ3 analog — loop structure; but no runtime evidence (key differentiator)
11,DesignRepair,DesignRepair: Dual-Stream Screenshot-Based Accessibility Repair [VERIFY FULL TITLE],"[VERIFY AUTHORS]",ICSE,A*,2025,C3 — Repair,Dual-stream screenshot repair targeting Material Design compliance,Screenshot visual comparison + LLM patch generation (two parallel streams),Multimodal LLM [VERIFY MODEL],Material Design compliance improved,Not WCAG; no focus-behavior; design-system specific; not generalizable,WCAG generalization; focus-state coverage,Competitor — screenshot-only evidence; not WCAG-grounded
12,Fernández-Navarro 2026,Automated LLM-Based Accessibility Remediation: From Conventional Websites to Angular SPAs,"Fernández-Navarro F.; Chicano F.",arXiv:2602.17887,Preprint,2026,C3 — Repair,Selenium + LLM pipeline achieving 80-86% repair rate on static and Angular SPAs,Selenium + axe-core violation detection + GPT-4 prompting + DOM patching,GPT-4,80% on static sites; 86% on Angular SPAs,axe-core bounded; focus SCs absent; no evidence ablation; no D_r real-world dataset,Runtime evidence; focus SC repair; evidence ablation study,Competitor — closest methodology analog; no focus SCs; no ablation (RQ2 gap)
13,ACCESS,ACCESS: Prompt Engineering for Automated Web Accessibility Violation Corrections,"Huang et al.",arXiv:2401.16450,Preprint,2024,C3 — Repair,Prompt engineering for web a11y repair using foundation models; >51% violation reduction,Foundation model prompting + static HTML/DOM violation text input,GPT-3.5 / GPT-4,>51% violation reduction on benchmark,Static DOM only; no runtime state; no focus-behavior SCs; benchmark limited,Runtime evidence integration; focus-behavior SC coverage,Competitor — web repair with static evidence; confirms evidence gap argument
14,Iris,Automated and Context-Aware Repair of Color-Related Accessibility Issues for Android Apps,"Chen J.; Fan G.; Chen L.; Li X.",ESEC/FSE,A*,2023,C3 — Repair,Context-aware CSS contrast repair for Android; 91.38% resolution; PRs merged upstream,Rule-based constraint solving (HSL binary search on foreground/background color); static layout analysis,None,91.38% resolution rate; 9/40 developer PRs merged,Android native UI only; contrast only; no focus-state transitions; not web,Extend to web; other CSS violation types (focus-state),Nearest CSS-repair design precedent; supports SC 2.4.13 rule-based generator concept
15,FixAlly,FixAlly: Automated Code Fix Suggestions for Accessibility Issues in Mobile Apps,"Mehralian M.; Barik T.; Nichols J.; Swearngin A.",arXiv:2408.03827,Preprint,2024,C3 — Repair,"Multi-agent LLM (fix-strategy + code-localization + generation agents); 77% plausible; 69.4% dev acceptance",GPT-4 multi-agent pipeline (3 specialized agents) + mobile a11y scanner output,GPT-4,77% plausible fixes; 69.4% developer acceptance,Mobile only (iOS/Android); static scanner evidence; no runtime state capture,Web a11y domain; runtime evidence integration,Competitor — multi-agent design; runtime evidence makes decomposition unnecessary
16,RepairAgent,RepairAgent: An Autonomous LLM-Based Agent for Program Repair,"Huang J. et al. [VERIFY FULL AUTHORS]",arXiv / ICSE [VERIFY VENUE],A* [if ICSE],2024,C4 — APR,Autonomous LLM agent for general program repair at $0.14/bug average cost,GPT-4 + tool-use agent architecture + test-based feedback loop,GPT-4,$0.14/bug average; competitive with specialized non-LLM APR tools,General programs; not accessibility; tool use adds complexity,A11y-specific autonomous agents; domain-specialized contexts,LLM repair cost/feasibility baseline — establishes LLM repair is viable at scale
